#C'dt(s)', 'V_DC(V)', '', '', '', '', '', '', 'CH1_R', 'CH2_R', 'CH3_R', 'CH5_R', 'CH6_R', 'CH1_P', 'CH2_P', 'CH3_P', 'CH5_P', 'CH6_P', 'CH1_T', 'CH2_T', 'CH3_T', 'CH5_T', 'CH6_T', 'p1', 'p2', 'p3', 'p4', 'p5', 'p6', 'Flow'
#I'TIME[].dt', 'HP34401A.V_DC', 'KT2400.Voltage', 'KT2400.Voltage', '', '', '', '', '', '', 'CH1_R', 'CH2_R', 'CH3_R', 'CH5_R', 'CH6_R', 'CH1_P', 'CH2_P', 'CH3_P', 'CH5_P', 'CH6_P', 'CH1_T', 'CH2_T', 'CH3_T', 'CH5_T', 'CH6_T', 'p1', 'p2', 'p3', 'p4', 'p5', 'p6', 'Flow'
#P'dt', 'V_DC', 'col 1', 'col 2', 'col 3', 'col 4', 'col 5', 'col 6', 'CH1_R', 'CH2_R', 'CH3_R', 'CH5_R', 'CH6_R', 'CH1_P', 'CH2_P', 'CH3_P', 'CH5_P', 'CH6_P', 'CH1_T', 'CH2_T', 'CH3_T', 'CH5_T', 'CH6_T', 'p1', 'p2', 'p3', 'p4', 'p5', 'p6', 'Flow'
#T'1562869078.2531958'
8.368151555775165558e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368151659439563751e+06 nan 3.700000000000000178e+00 3.700000000000000178e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368151759698152542e+06 nan 3.700000000000000178e+00 3.700000000000000178e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368151860389947891e+06 nan 3.700000000000000178e+00 3.700000000000000178e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368151960394144058e+06 nan 3.700000000000000178e+00 3.700000000000000178e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152061126232147e+06 nan 3.700000000000000178e+00 3.700000000000000178e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152164796829224e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152264979839325e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152365699052811e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152465738296509e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152566514015198e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152671137809753e+06 nan 4.599999999999999645e+00 4.599999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152771171092987e+06 nan 4.599999999999999645e+00 4.599999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368152871899366379e+06 nan 4.599999999999999645e+00 4.599999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
