1497585487.4040000	45.00
1497589487.7370000	50.00
1497593487.7460001	55.00
1497597487.7760000	60.00
1497601487.9930000	65.00
1497605488.4349999	70.00
1497609489.4330001	75.00
1497613490.1980000	80.00
1497617491.1570001	85.00
1497621491.5940001	90.00
1497625491.9740000	95.00
1497669550.1710000	10.00
1497673550.8280001	11.50
1497677551.4530001	13.00
1497681552.5130000	14.50
1497685553.1770000	16.00
1497689554.2290001	17.50
1497693554.6190000	19.00
1497697555.2079999	20.50
1497701555.4480000	22.00
1497705555.6780000	23.50
1497709555.8380001	25.00
1497751722.2530000	36.00
1497755922.7830000	34.50
1497760123.4549999	33.00
1497764324.0469999	31.50
1497768524.1849999	30.00
1497772724.3880000	28.50
1497776924.4740000	27.00
1497781124.5190001	25.50
1497785324.8120000	24.00
1497789525.5339999	22.50
1497793726.0230000	21.00
